prompt_id,prompt_text,category,complexity
166,Chopping vegetables on a wooden cutting board,cooking,low
167,Carousel music at an amusement park,entertainment,medium
168,Retro pinball gadget with flippers as well as bells,nostalgic,medium
169,Whispering voices in an ancient tomb,horror,medium
170,Horse-drawn sleigh with bells in snow,historical,medium
171,Group meditation including synchronized respiration,spiritual,medium
172,Ancient movie projector clicking with film soundtrack,vintage,medium
173,Mild zephyr along bamboo forest,nature,medium
174,Electric guitar amplifier feedback alongside distortion,music,medium
175,Snowy night together with distant wolf howls,nature,medium
176,Analog synthesizer creating ambient soundscape,electronic,medium
177,Morning flyers at dawn during springtime,nature,medium
178,Rotary aircraft search and rescue operation,emergency,high
179,Pool balls colliding during a game,sports,medium
180,Vintage radio tuning between stations,vintage,medium
181,Drizzle hitting large tropical fronds within jungle,nature,medium
182,Sharpening a knife on a whetstone,everyday,low
183,Child splashing amidst puddles with rubber boots,human,low
184,Frantic shopping mall in the course of holiday season,social,high
185,Sailboat including flapping sails and water against hull,nautical,medium
186,Haunted mansion comprising creaking floors also detached moans,horror,medium
187,Analog alarm timer tocking and ringing,everyday,low
188,Cat purring while kneading a soft blanket,animals,low
189,Crackling paper as pages turn inside book,ambient,low
190,Lively highway automobiles from distance,urban,medium
191,Blacksmith hammering red-hot metal over anvil,historical,medium
192,Sparking electricity amidst a mad scientist lab,sci-fi,medium
193,Horse trotting over cobblestone street,historical,medium
194,Rowdy sports bar in the course of a big game,social,high
195,Children opening presents together with excitement,celebration,medium
196,Freight metro passing by comprising horn blasts,transportation,medium
197,Steps on gravel path in faint garden,ambient,low
198,Roller coaster with screams also mechanical sounds,entertainment,high
199,Windmill grating as blades turn inside strong breeze,rural,medium
200,Archaic western town together with distant piano music,historical,medium
201,Ambient hum of a submarine interior,transportation,medium
202,Cuckoo clock striking the hour,vintage,medium
203,Soccer match featuring referee whistle and crowd,sports,high
204,Air current howling through abandoned building,horror,medium
205,Busy eatery kitchen for the duration of service,workplace,high
206,Arboretum creatures at night with owl hoots,nature,medium
207,Orchestra performing classical symphony,music,high
208,Pouring rain against a car roof while driving,weather,medium
209,Traditional Native American drum circle,cultural,medium
210,Ancient phonograph playing scratchy jazz record,vintage,medium
211,Rocket countdown and powerful launch,sci-fi,high
212,Monks chanting amidst a stone monastery,spiritual,medium
213,Crackling bonfire together with ghost stories,horror,medium
214,Dinner table exchange featuring family,social,medium
215,Bicycle bell ringing across bustling bike path,transportation,low
216,Water boiling within a kettle whistling,everyday,low
217,Rhythmic printing press in operation,industrial,medium
218,Mountain brook including infrequent fish jumps,nature,medium
219,Playground swings squeaking back also forth,nostalgic,low
220,Typing across old mechanical typewriter,vintage,medium
221,Ice skates carving across frozen pond,sports,medium
222,Blacksmith hammering as well as quenching hot metal,historical,medium
223,Baby giggling amid peek-a-boo game,human,low
224,Geese honking as they fly overhead,animals,medium
225,Old film projector sprinting amid cinema,vintage,medium
226,Cave together with water droplets in addition to distant echoes,nature,medium
227,Cash register drawer opening with bell,vintage,low
228,Ancient temple with draft amidst stone corridors,historical,medium
229,Copter hovering up high,transportation,medium
230,Whale songs in bottomless briny deep,animals,medium
231,Draft chimes during soothing summer breeze,ambient,low
232,Lively fish exchange together with vendors calling,social,high
233,Analog synthesizer creating sci-fi atmosphere,electronic,medium
234,Walking by way of dense copse undergrowth,nature,medium
235,Stadium crowd doing the wave at sporting event,social,high
236,Sizzling logs amid stone fireplace for the duration of winter,ambient,medium
237,Subway metro arriving amid station with announcement,transportation,medium
238,Antique pocket watch ticking mechanism,vintage,low
239,Cat purring alongside kneading across blanket,animals,low
240,Basketball game with squeaking shoes together with bouncing ball,sports,medium
241,Breeze rushing across canyon walls,nature,medium
242,Antique fashioned typewriter plus bell for end of line,vintage,medium
243,Beehive humming including activity,nature,medium
244,Grandfather chronometer pendulum swinging,vintage,low
245,Marching band engaging in parade,music,high
246,Bowling alley ambient sounds,sports,high
247,Ornithes taking flight suddenly from trees,nature,medium
248,Video arcade from the 1980s,nostalgic,high
249,Horse galloping across open field,animals,medium
250,Rain atop windshield plus wipers jogging,transportation,medium
251,Electric guitar with heavy distortion solo,music,medium
252,Bonfire popping in the course of beach party,social,medium
253,Heavy footsteps during empty hallway amid night,horror,medium
254,Carnival merry-go-round music and laughter,entertainment,high
255,Fox barking amid moonlit woods,animals,medium
256,Copter rescue operation amid mountains,emergency,high
257,Chopping wood for winter fireplace,rural,medium
258,Tennis match with grunts and ball hits,sports,medium
259,Haunted home featuring ghostly whispers,horror,medium
260,Aged west saloon piano playing ragtime,historical,medium
261,Sand timer together with grains falling slowly,ambient,low
262,Bubbling scientific experiment in laboratory,sci-fi,medium
263,Bat echolocation sounds during cave,animals,medium
264,Monks chanting in Tibetan monastery,spiritual,medium
265,Vinyl record crackle before jazz music,vintage,medium
266,Soccer stadium together with chanting fans,sports,high
267,Thunderstorm together with prominent downpour covering covering,weather,high
268,Ice cracking on frozen lake throughout spring,nature,medium
269,Cash register bonging up sales,vintage,low
270,Heart monitor beeping within hospital room,medical,low
271,Howling blizzard around mountain cabin,weather,high
272,Frying eggs covering hot skillet,cooking,low
273,Bowling ball rolling down lane coupled with hitting pins,sports,medium
274,Traditional Japanese tea ceremony,cultural,medium
275,Horse-drawn carriage on country road,historical,medium
276,Bubbling creek alongside ornithes chirping,nature,medium
277,Mechanical pocket watch tocking,vintage,low
278,Ancient stone door grinding open,fantasy,medium
279,Coffee percolator bubbling over stove,cooking,low
280,Ambient sounds of tropical rainforest,nature,high
281,Smartphone ringing in empty office edifice,ambient,low
282,Crinkling fire with storyteller speaking,social,medium
283,Orchestra tuning instruments in advance of concert,music,high
284,Dog barking in the course of mailman approaching,animals,low
285,Popcorn popping in kettle,cooking,low
286,Drawbridge mechanism raising with chains,mechanical,medium
287,Morning in countryside with rooster crowing,rural,medium
288,Theremin frolicking eerie melody,electronic,medium
289,Indoor swimming pool echoes coupled with splashes,sports,medium
290,Horses pulling stagecoach above dirt road,historical,medium
291,Spitting static on historic radio,vintage,medium
292,Birds chirping within spring garden,nature,medium
293,Squall approaching featuring faint rumbles,weather,medium
294,Blacksmith forge with hammer as well as bellows,historical,medium
295,Summer shower above garden leaf cover,weather,medium
296,Church bells ringing across village,cultural,medium
297,Carousel music while night carnival,entertainment,medium
298,Casino slot machines in addition to ambient chatter,entertainment,high
299,Cat purring by snapping fireplace,animals,medium
300,Chainsaw cutting through fallen tree,tools,medium
301,Chalk writing over blackboard in quiet classroom,nostalgic,low
302,Champagne cork popping at celebration,celebration,low
303,Minors jumping amid pile of autumn foliage,nostalgic,medium
304,Christmas morning plus paper unwrapping,celebration,medium
305,Cicadas singing on hot summer evening,nature,medium
306,Circus performance alongside multitude reactions,entertainment,high
307,Classical string quartet throughout marble hall,music,medium
308,Classroom plus teacher and student interactions,social,medium
309,Timer tower striking noon over municipality square,urban,medium
310,Closing metal vault door with echo,mechanical,medium
311,Coffee shop ambient noise with espresso appliance,social,medium
312,Cold winter wind whistling through bare trees,weather,medium
313,Processor server room together with fans alongside hard drives,technology,medium
314,Concert hall audience applauding,social,medium
315,Construction site accompanied by jackhammer coupled with crane,industrial,high
316,Cooking bacon amidst cast iron skillet,cooking,low
317,Coral reef underwater with bubbles plus fish,nature,medium
318,Corks popping during wine tasting event,celebration,medium
319,Country creek comprising frogs coupled with crickets,nature,medium
320,Cow mooing amidst barn with hay swishing,rural,low
321,Crackling campfire plus owl hooting,nature,medium
322,Crackling ice among glass of whiskey,ambient,low
323,Squealing door within forsaken mansion,horror,low
324,Creaking floors in archaic Victorian habitat,horror,low
325,Creaking rocking chair over wooden porch,nostalgic,low
326,Cricket match alongside bat hits in addition to commentary,sports,medium
327,Crickets calling over summer evening,nature,low
328,Multitude cheering for football touchdown,sports,high
329,Crowd murmuring in advance of theater performance,social,medium
330,Crying baby steadily calming down,human,medium
331,Crystal glasses clinking in toast,celebration,low
332,Cuckoo horologe announcing noon,vintage,low
333,Dance club with electronic music as well as crowd,social,high
334,Strong space ambient together with rare transmission,sci-fi,medium
335,Desert wind amidst canyon with hawk cry,nature,medium
336,Dice rolling across wooden table amid game,entertainment,low
337,Diesel railway engine idling when station,transportation,medium
338,Digital siren timekeeping device beeping persistently,everyday,low
339,Dining hall with silverware and conversation,social,medium
340,Dinner party accompanied by guffaws together with glasses clinking,social,medium
341,Detached ambulance siren approaching,emergency,medium
342,Distant avalanche in mountain range,nature,high
343,Faint carnival sounds across night field,entertainment,medium
344,Isolated church bells on Sunday morning,cultural,medium
345,Faint factory whistle signaling end of shift,industrial,medium
346,Distant fireworks covering fourth of July,celebration,medium
347,Distant foghorn upon misty harbor,nautical,medium
348,Far-off gunfire over battlefield,historical,high
349,Remote helo approaching progressively,transportation,medium
350,Isolated rumble in the course of faint rain,weather,medium
351,Distant train whistle across prairie,transportation,medium
352,Remote volcano rumbling earlier than eruption,nature,high
353,Diving moving to swimming pool together with underwater sounds,sports,medium
354,Dog barking excitedly at squirrel,animals,low
355,Dog panting post performing fetch,animals,low
356,Dog shaking water off after swimming,animals,low
357,Dogs playing as well as wrestling covering grass,animals,medium
358,Dolphins clicking and whistling underwater,animals,medium
359,Door cracking open within haunted dwelling,horror,low
360,Drawbridge mechanisms raising plus chains,mechanical,medium
361,Dripping faucet in still bathroom,everyday,low
362,Dripping water inside cave with echoes,nature,medium
363,Drone of airplane engines in the course of flight,transportation,medium
364,Dropping ice cubes heading to glass,everyday,low
365,Drum circle in public park,music,medium
366,Drumming fingers over wooden table,human,low
367,Duck quacking throughout pond edge,animals,low
368,Ducks landing covering pond with water splashes,animals,medium
369,Electric fan oscillating during muted room,everyday,low
370,Electric guitar being tuned,music,low
371,Electric saw cutting wood,tools,medium
372,Electric shaver buzzing,everyday,low
373,Electric toothbrush sprinting,everyday,low
374,Electronic cash register scanning items,everyday,low
375,Electronic door lock with keypad beeps,technology,low
376,Electronic music with synthetic beats,music,medium
377,Elevator arriving with bell also doors opening,everyday,low
378,Elevator music in department store,ambient,low
379,Empty concert hall including remote piano notes,ambient,medium
380,Empty playground swings squealing among zephyr,eerie,medium
381,Engine room of large ship at sea,transportation,high
382,Espresso device steaming milk,cooking,low
383,Evening cicadas coupled with crickets inside summer,nature,medium
384,Excited dog greeting returning owner,animals,medium
385,Explosive thunderclap in the midst of storm,weather,medium
386,Factory assembly line featuring conveyor belt,industrial,high
387,Falling raindrops upon window pane,weather,low
388,Farm animals waking when dawn,rural,medium
389,Quick passing channel within mountain gorge,nature,medium
390,Fast-paced footsteps running across pavement,action,medium
391,Fax contrivance sending document,vintage,medium
392,Ferris wheel during night carnival,entertainment,medium
393,Field of wheat crinkling among breeze,nature,medium
394,Film projector running in empty theater,vintage,medium
395,Finale of fireworks display,celebration,high
396,Fire warning clanging throughout establishment,emergency,medium
397,Fire truck siren approaching emergency,emergency,medium
398,Fireplace fizzing on winter evening,ambient,medium
399,Fireworks exploding in celebration,celebration,medium
400,Fish tank bubbler coupled with filter running,ambient,low
401,Fishing boat diesel engine idling,nautical,medium
402,Fishing line casting alongside reel spinning,sports,low
403,Fitness class with instructor coupled with music,sports,medium
404,Fizzing soda being poured into glass,everyday,low
405,Flamenco dancers featuring castanets alongside footwork,cultural,medium
406,Flashbulbs popping throughout press conference,media,medium
407,Flipping through pages of newspaper,everyday,low
408,Flowing river plus rushing rapids,nature,medium
409,Flute playing solo melody amidst empty hall,music,medium
410,Winging insects buzzing around porch light,nature,low
411,Fog horn blowing amid harbor mist,nautical,medium
412,Footsteps approaching over wooden floor,ambient,low
413,Paces crunching inside fresh snow,weather,low
414,Paces echoing amidst empty corridor,eerie,low
415,Steps among dry autumn fronds,nature,low
416,Footsteps on gravel path in garden,ambient,low
417,Stride sounds running up wooden staircase,action,low
418,Woodland after rainfall accompanied by dripping leaves,nature,medium
419,Forest while dusk with owl hooting,nature,medium
420,Copse fire crinkling through underbrush,nature,high
421,Formula 1 race cars passing by,sports,high
422,Fox hunting horn across autumn field,historical,medium
423,Freezer door opening with frost cracking,everyday,low
424,French cafe featuring accordion music,cultural,medium
425,Frog chorus at pond edge in the course of twilight,nature,medium
426,Frontier town plus horses coupled with wagon,historical,medium
427,Frying bacon in pan accompanied by sizzling,cooking,low
428,Funeral procession plus solemn music,spiritual,medium
429,Furious downpour accompanied by massive rain,weather,high
430,Futuristic urban area including soaring vehicles,sci-fi,high
431,Futuristic PC interface comprising beeps,sci-fi,medium
432,Galloping horse across open meadow,animals,medium
433,Game show audience applauding answer,entertainment,medium
434,Garage door opening automatically,everyday,low
435,Garden party with conversations coupled with music,social,medium
436,Gas stove burner igniting,everyday,low
437,Geese honking during migration,animals,medium
438,Soft brook amid forest clearing,nature,medium
439,Tranquil maritime domain billows on sandy beach,nature,medium
440,Gentle drizzle over tent while camping,weather,medium
441,Soft rill moving across meadow,nature,medium
442,Gentle zephyr amidst pine woods,nature,medium
443,Ghost town including zephyr through empty buildings,eerie,medium
444,Glass breaking in deliberate motion,effects,medium
445,Glass shattering upon hard floor,effects,low
446,Glassblower working together with molten glass,crafts,medium
447,Glasses clinking within celebration toast,celebration,low
448,Grandfather timepiece striking midnight,vintage,medium
449,Grasshoppers calling in summer field,nature,low
450,Gravel crunching under auto tires,transportation,low
451,Group meditation together with ohm chanting,spiritual,medium
452,Guitar being carefully tuned,music,low
453,Gull cries over harbor together with boat bells,nautical,medium
454,Gym workout including weights coupled with respiration,sports,medium
455,Hair dryer running upon high setting,everyday,low
456,Halloween party featuring monster sounds,celebration,medium
457,Hammer hitting nail into wood,tools,low
458,Hammock swinging featuring rope moaning,ambient,low
459,Hand cranked ice cream maker,vintage,low
460,Hand washing dishes in sink,everyday,low
461,Harbor accompanied by boat blares and gulls,nautical,medium
462,Harp glissando inside concert hall,music,medium
463,Haunted home attraction plus screams,entertainment,high
464,Haunting violin solo in empty church,music,medium
465,Intense cloudburst hitting window panes,weather,medium
466,Prominent downpour on canvas tent,weather,medium
467,Substantial snowfall with muffled municipality sounds,weather,medium
468,Heavy storm comprising zephyr and precipitation,weather,high
469,Copter blades whirring overhead,transportation,medium
470,Hens clucking during chicken coop,rural,medium
471,High heel shoes strolling against marble floor,everyday,low
472,High mountain breeze along rocky peaks,nature,medium
473,High school band practicing within distance,music,medium
474,High school hallway between classes,social,high
475,High speed train passing by station,transportation,high
476,Highway motorists from pedestrian bridge,urban,medium
477,Hiking boots covering rocky mountain trail,adventure,low
478,Hockey game alongside stick slaps plus congregation,sports,high
479,Home printer scanning in addition to printing,technology,low
480,Horse carriage over cobblestone pathway,historical,medium
481,Horse galloping across open field,animals,medium
482,Horse neighing and stomping amid stable,animals,medium
483,Horse trotting on dirt path,animals,medium
484,Hospital corridor amid night together with occasional pages,medical,medium
485,Hot air balloon burner firing,adventure,medium
486,Hotel lobby alongside subdued piano music,social,medium
487,Habitat construction with hammering as well as sawing,industrial,high
488,Hovercraft propulsion system and water spray,transportation,medium
489,Howling wind in the midst of winter blizzard,weather,high
490,Whirring refrigerator amidst quiet kitchen,everyday,low
491,Hushed museum gallery with irregular whispers,social,low
492,Hydraulic press crushing objects,industrial,medium
493,Ice cream truck melody in suburb,nostalgic,medium
494,Ice cracking covering frozen lake,nature,medium
495,Ice cubes being dropped en route to glass,everyday,low
496,Ice hockey puck and stick impacts,sports,medium
497,Ice skating rink comprising blades against ice,sports,medium
498,Icicles melting in addition to dripping,weather,low
499,Industrial elevator machinery operating,industrial,medium
500,Industrial factory comprising machinery dashing,industrial,high
501,Inside car over the course of prominent rainstorm,weather,medium
502,Inside medieval blacksmith shop,historical,medium
503,Inside moving elevator alongside mechanical sounds,everyday,low
504,Inside submarine with sonar pings,transportation,medium
505,Inside tent while rainstorm,weather,medium
506,Jazz club featuring saxophone solo,music,medium
507,Jet airliner taking off nearby,transportation,high
508,Jet ski racing across water,sports,medium
509,Jewelry box together with ballerina turning,vintage,low
510,Jungle at night with exotic animal sounds,nature,high
511,Kettle beginning to whistle upon stove,everyday,low
512,Key turning throughout old door lock,everyday,low
513,Key set typing including mechanical switches,technology,low
514,Kids working amid swimming pool,social,medium
515,Kitchen throughout busy dinner preparation,cooking,medium
516,Kitten meowing for attention,animals,low
517,Knitting needles clicking together,crafts,low
518,Lake waves lapping against dock,nature,medium
519,Large audience applauding performance,social,high
520,Large cathedral with echoing treads,spiritual,medium
521,Large assembly chanting amid protest,social,high
522,Large throng singing national anthem,social,high
523,Large grandfather chronometer tocking,vintage,low
524,Large industrial fan during warehouse,industrial,medium
525,Large metal gate closing alongside locking,mechanical,medium
526,Large office with typing also phones,workplace,high
527,Large tides smashing covering rocky shore,nature,high
528,Laser printer printing document,technology,low
529,Laundromat including washing machines dashing,everyday,medium
530,Lawn mower sprinting amidst suburban yard,everyday,medium
531,Lawn sprinklers running in morning,everyday,low
532,Leaves rustling in autumn breeze,nature,low
533,Library accompanied by occasional page turning,ambient,low
534,Faint aircraft powerplant starting,transportation,medium
535,Delicate precipitation falling on calm lake,weather,medium
536,Mild rainfall upon greenhouse shelter,weather,medium
537,Lightning strike with immediate thunderclap,weather,high
538,Lions roaring in savanna distance,animals,medium
539,Live auction featuring fast-talking auctioneer,social,high
540,Loading dock featuring trucks alongside forklifts,industrial,high
541,Locomotive steam engine starting,transportation,high
542,Log cabin fireplace spitting in winter,ambient,medium
543,Logging operation with chainsaws,industrial,high
544,Loom weaving fabric within textile mill,industrial,medium
545,Lullaby music box engaging slowly,nostalgic,low
546,Lumber being cut at sawmill,industrial,high
547,Appliance gun firing rapidly,action,high
548,Magic spell casting accompanied by mystical sounds,fantasy,medium
549,Magical forest together with ethereal sounds,fantasy,medium
550,Magician performing including audience gasps,entertainment,medium
551,Mail slot accompanied by letters dropping amidst,everyday,low
552,Mall square including vendors calling,social,high
553,Martial arts training session,sports,medium
554,Match being struck also lighting,everyday,low
555,Mechanical timer winding up,vintage,low
556,Mechanical metronome pulsing steadily,music,low
557,Mechanical toy robot treading,vintage,low
558,Meditative singing bowl being struck,spiritual,low
559,Melting ice cream dripping above hot day,ambient,low
560,Metal detector beeping amid treasure,adventure,low
561,Metal gate squeaking open slowly,ambient,low
562,Metal workshop alongside grinding and welding,industrial,high
563,Metronome marking time at moderate tempo,music,low
564,Microwave oven speeding and beeping,everyday,low
565,Military boots marching throughout formation,historical,medium
566,Military jet winging aloft,transportation,high
567,Military parade alongside marching band,cultural,high
568,Milk being poured in the direction of cereal bowl,everyday,low
569,Mining operation with drilling,industrial,high
570,Misty mountain forest while dawn,nature,medium
571,Mixing cocktail amid shaker,social,low
572,Mobile communicator vibrating against wooden table,technology,low
573,Model metro set running on tracks,hobby,medium
574,Modern art gallery with hushed voices,social,low
575,Modern office with computers and phones,workplace,medium
576,Monastery bells calling to prayer,spiritual,medium
577,Monday morning construction site,industrial,high
578,Monkey chattering within rainforest,animals,medium
579,Monorail express passing up high,transportation,medium
580,Morning birdsong within spring garden,nature,medium
581,Morning coffee brewing among equipment,everyday,low
582,Morning commute above lively highway,transportation,high
583,Morning amidst countryside farmyard,rural,medium
584,Morning during suburbs featuring paper delivery,everyday,medium
585,Morse code being tapped out,communication,low
586,Mosquito buzzing near ear while night,animals,low
587,Motorcycle engine starting coupled with idling,transportation,medium
588,Motorcycle passing by with thunderous prime mover,transportation,medium
589,Mountain avalanche among distance,nature,high
